Store Name,number,streetaddr,strcity,strstate,zipcode,phone-number,Longitude,Latitude
"Wm Nbrhd Mkt - Oceanside,",#5637,1046 Mission Ave; I-5 Exit 53,Oceanside,CA,92054,(760) 696-9906,-117.375615,33.198562
"Walmart Supercenter - Orangevale,",#4309,8961 Greenback Lane,Orangevale,CA,95662,(916) 989-5800,-121.22328,38.679118
"Walmart Supercenter - Oxnard,",#3087,2701 Saviers Rd,Oxnard,CA,93033,(805) 200-5224,-119.178066,34.17473
"Wm Nbrhd Mkt - Oxnard,",#5643,421 W Esplanade Dr; Hwy 101 Exit 61,Oxnard,CA,93036,(805) 604-2082,-119.17934,34.236503
"Walmart Supercenter - Palm Desert,",#5096,34500 Monterey Ave,Palm Desert,CA,92260,(760) 328-4375,-116.386207,33.798088
"WM Nbrhd Mkt - Palm Desert,",#3026,72314 Hwy 111,Palm Desert,CA,92260,(760) 469-3428,-116.401626,33.727429
"Walmart Supercenter - Patterson,",#5843,1030 Sperry Ave,Patterson,CA,95363,(209) 895-4407,-121.142528,37.464052
"Wm Nbrhd Mkt - Pleasanton,",#5611,3112 Santa Rita Rd,Pleasanton,CA,94566,(925) 398-6369,-121.877558,37.689969
"Wm Nbrhd Mkt - Rialto,",#3131,300 W Baseline Rd,Rialto,CA,92376,(909) 546-3019,-117.366289,34.121638
"Walmart Supercenter - Rocklin,",#3587,5454 Crossings Dr; I-80 Exit 109,Rocklin,CA,95661,(916) 783-8281,-121.203643,38.80177
"Wm Nbrhd Mkt - Rocklin,",#3090,5609 Pacific St,Rocklin,CA,95677,(916) 824-0104,-121.240115,38.783624
"Wm Nbrhd Mkt - Sacramento,",#5982,2700 Marconi Ave,Sacramento,CA,95821,(916) 576-6657,-121.398873,38.617419
"Walmart Supercenter - Sacramento ,",#5192,5821 Antelope N Rd,Sacramento,CA,95843,(916) 729-6162,-121.330824,38.703544
"Walmart Supercenter - Salinas ,",#2458,1800 N Main St,Salinas,CA,93907,(831) 751-0231,-121.650778,36.7182
"Wm Nbrhd Mkt - San Bernardino,",#5690,2045 E Highland Ave,San Bernardino,CA,92404,(909) 863-3050,-117.2419052,34.1349945
"Wm Nbrhd Mkt - Imperial Beach,",#5638,2121 Imperial Ave; I-5 Exit 14,San Diego,CA,92102,(619) 849-5729,-117.144594,32.706198
"Walmart Supercenter - San Jacinto,",#5425,1861 South San Jacinto Ave,San Jacinto,CA,92583,(951) 487-1492,-116.956449,33.767929
"Wm Nbrhd Mkt - San Jose,",#3025,1600 Saratoga Ave,San Jose,CA,95129,(408) 796-3823,-121.988012,37.290992
"Wm Nbrhd Mkt - San Jose,",#3023,4055 Evergreen Village Square,San Jose,CA,95135,(408) 826-0338,-121.772553,37.313406
"Walmart Supercenter - San Jose,",#5884,5095 Almaden Expy,San Jose,CA,95118,(408) 600-3072,-121.879593,37.255593
"Walmart - San Marcos,",#3494,732 Center Dr CA-78 Exit 15 Nordahl,San Marcos,CA,92069,(760) 233-8009,-117.122597,33.134891
"Walmart Supercenter - Sanger,",#4238,2761 Jensen Ave,Sanger,CA,93657,(559) 875-4268,-119.576351,36.70575
"Wm Nbrhd Mkt - Santa Clara,",#3123,3255 Mission College Blvd,Santa Clara,CA,95054,(408) 961-3599,-121.985579,37.389119
"Wm Nbrhd Mkt - Santa Maria,",#5658,2240 S Bradley Rd,Santa Maria,CA,93454,(805) 348-4951,-120.419479,34.918919
"Wm Nbrhd Mkt - Santa Maria,",#5659,500 S Blosser Rd,Santa Maria,CA,93458,(805) 863-9146,-120.453785,34.948556
"Walmart - Simi Valley ,",#5685,2801 E Cochran St,Simi Valley,CA,93065,(805) 416-5272,-118.739012,34.279985
"Wm Nbrhd Mkt - Stanton,",#4134,12840 Beach Blvd,Stanton,CA,90680,(714) 230-0126,-117.991891,33.774774
"Wm Nbrhd Mkt - Stockton,",#3022,1189 E March Lane,Stockton,CA,95210,(209) 235-0499,-121.292148,38.003558
"Wm Nbrhd Mkt -- Thousand Oaks,",#3179,512 Ventu Park Rd,Thousand Oaks,CA,91320,(805) 262-3406,-118.909985,34.186532
"Wm Nbrhd Mkt - Torrance,",#2226,19340 Hawthorne Blvd,Torrance,CA,90503,(310) 750-1983,-118.35364,33.855544
"Walmart - Torrance,",#5072,19503 South Normandie Ave,Torrance,CA,90501,(310) 782-6022,-118.301358,33.856663
"Walmart - Torrance,",#5874,22015 Hawthorne Blvd,Torrance,CA,90503,(310) 750-0179,-118.352685,33.827757
"Wm Nbrhd Mkt - Turlock,",#3047,2480 Geer Rd,Turlock,CA,95380,(209) 226-7000,-120.847441,37.515708
"Wm Nbrhd Mkt - Upland,",#5691,1445 E Foothill Blvd,Upland,CA,91786,(909) 942-4931,-117.629703,34.107467
"Wm Nbrhd Mkt - Vacaville,",#5007,2050 Nut Tree Rd,Vacaville,CA,95687,(707) 359-3258,-121.95113,38.350952
"Wm Nbrhd Mkt - Vacaville,",#5608,941 Alamao Dr,Vacaville,CA,95687,(707) 359-3180,-121.995369,38.344227
"Walmart - Ventura,",#3650,1739 S Victoria Ave,Ventura,CA,93003,(805) 665-5560,-119.21161,34.258337
"Wm Nbrhd Mkt - Visalia,",#5635,1320 N Demaree St,Visalia,CA,93291,(559) 429-3264,-119.33065,36.340221
"Walmart - Visalia,",#5956,3750 S Mooney Blvd,Visalia,CA,93277,(559) 802-4429,-119.311413,36.296031
"Walmart Supercenter - West Covina,",#5954,2753 E Eastland Center Dr; I-10 Exit 37,West Covina,CA,91791,(626) 332-4608,-117.887675,34.073286
"Walmart Supercenter - West Sacramento ,",#3652,755 Riverpoint Court,West Sacramento,CA,95605,(916) 373-2200,-121.550407,38.588138
"WM Nbrhd Mkt - Woodland,",#5606,1250 E Gibson Rd,Woodland,CA,95776,(530) 665-4306,-121.764208,38.661301
"WM Nbrhd Mkt - Woodland,",#4127,215 California St,Woodland,CA,95695,(530) 665-4638,-121.788547,38.681338
"Wm Nbrhd Mkt - Arvada,",#3020,14605 W 64th Ave,Arvada,CO,80004,(303) 209-7840,-105.163286,39.813996
"Wm Nbrhd Mkt - Aurora,",#4196,15240 E Liff Ave,Aurora,CO,80014,(303) 481-3904,-104.810914,39.674724
"Wm Nbrhd Mkt - Boulder,",#3096,2972 Iris Ave,Boulder,CO,80301,(303) 305-5397,-105.25594,40.036254
"Walmart Supercenter - Brighton ,",#4567,7101 E 128th Ave,Brighton,CO,80602,(303) 209-4339,-104.905925,39.930264
"Walmart Supercenter - Broomfield, Gas/Diesel,",#4288,4651 W 121st Ave,Broomfield,CO,80020,(303) 217-9374,-105.046286,39.915789
"Walmart Supercenter - Centennial,",#3313,10900 East Briarwood Ave,Centennial,CO,80112,(303) 706-0071,-104.861634,39.591425
"Wm Nbrhd Mkt - Centennial,",#3126,16746 E Smokey Hill Rd,Centennial,CO,80015,(3030 305-1110,-104.7933886,39.625883
"Wm Nbrhd Mkt - Colorado Springs,",#3082,1622 S Academy Blvd,Colorado Springs,CO,80916,(719) 244-9294,-104.757723,38.809764
"Wm Nbrhd Mkt - Colorado Springs,",#3176,1725 N Union Blvd,Colorado Springs,CO,80911,(719) 424-3385,-104.793827,38.857348
"Wm Nbrhd Mkt - Colorado Springs,",#3175,4142 Austin Bluffs Pkwy,Colorado Springs,CO,80918,(719) 244-9776,-104.754829,38.891446
"Wm Nbrhd Mkt - Colorado Springs,",#3083,665 N Murray Blvd,Colorado Springs,CO,80915,(719) 596-1294,-104.746982,38.842555
"Walmart Supercenter - Craig,",#4377,2000 West Victory Way,Craig,CO,81625,(970) 824-0340,-107.569542,40.512209
"Wm Nbrhd Mkt - Denver,",#3128,1442 S Parker Rd,Denver,CO,80231,(303) 481-0182,-104.890163,39.690496
"Wm Nbrhd Mkt - Denver,",#3021,2253 S Monaco Pkwy,Denver,CO,80222,(303) 323-4409,-104.912688,39.67491
"Walmart Supercenter - Denver,",#5676,2770 W Evans Ave,Denver,CO,80219,(303) 222-7043,-105.022014,39.678318
"Wm Nbrhd Mkt - Denver,",#3127,5141 Chambers Rd,Denver,CO,80239,(303) 218-6237,-104.811464,39.785558
"Walmart Supercenter - Elizabeth,",#4639,2100 Legacy Circle,Elizabeth,CO,80107,(303) 646-2599,-104.621845,39.360399
"Walmart Supercenter - Falcon,",#4335,11550 Meridian Market View,Falcon,CO,80831,(719) 522-2910,-104.611294,38.939062
"Walmart Supercenter - Lakeside,",#5957,5957 West 44th Ave,Lakeside,CO,80212,(303) 222-4455,-105.061256,39.778195
"Walmart Supercenter - Lakewood,",#4284,440 Wadsworth Blvd,Lakewood,CO,80226,(303) 205-0754,-105.080334,39.721317
"Wm Nbrhd Mkt - Littleton,",#3125,3615 W Bowles Ave,Littleton,CO,80123,(303) 218-4873,-105.031405,39.60762
"Walmart Supercenter - Loveland (N),",#1008,250 W 65th,Loveland,CO,80538,(970) 667-3331,-105.079419,40.456818
"Walmart Supercenter - Pueblo West,",#3382,78 North Mcculloch Blvd,Pueblo West,CO,81007,(719) 647-9861,-104.74092,38.336923
"Walmart Supercenter - Westminster (72nd),",#3824,7155 Sheridan Blvd.,Westminster,CO,80003,(303) 487-1412,-105.055161,39.825109
"Walmart Supercenter - Woodland Park ,",#3805,19600 East Hwy 24,Woodland Park,CO,80866,(719) 687-1065,-105.039364,38.972275
"Wm Nbrhd Mkt - Bristol,",#2305,325 Oakland St,Bristol,CT,06010,(860) 506-2263,-72.936999,41.687532
"Walmart - Waterbury,",#3548,910 Wolcott St,Waterbury,CT,06705,(203) 759-1000,-73.00494,41.564088
"Wm Nbrhd Mkt - West Hartford,",#2303,333 N Main St,West Hartford,CT,06117,(860) 509-1705,-72.747033,41.784416
"Walmart Supercenter - Washington,",#5968,5929 Georgia Ave NW,Washington,DC,20001,(202) 719-3770,-77.026987,38.961614
"Walmart Supercenter - Washington,",#5941,99 H St NW,Washington,DC,20001,(202) 719-2110,-77.01161,38.900469
"Walmart Supercenter - Middletown,",#3802,705 Middletown Warwick Rd,Middletown,DE,19709,(302) 449-1254,-75.73703,39.44531
"Walmart Supercenter - Avon Park,",#3887,1041 Hwy 27 N,Avon Park,FL,33825,(863) 453-4177,-81.51632,27.60897
"Wm Nbrhd Mkt - Boynton Beach,",#3011,9840 S Military Trail,Boynton Beach,FL,33436,(561) 509-2138,-80.120668,26.530025
