storenum,opendate,date_super,conversion,st,county,streetaddr,strcity,strstate,type_store,strstate_order,region,statename,zipcode,Store Name,number,streetaddr1,strcity1,strstate1,zipcode1,phone-number,Longitude,Latitude
19,1990-04-03,1990-04-03,0,29,023,333 S WESTWOOD,Poplar Bluff,MO,Supercenter,MO,Midwest,Missouri,63901,"Walmart Supercenter - Poplar Bluff,",#0019,333 S Westwood,Poplar Bluff,MO,63901,(573) 686-6420,-90.410723,36.75574
20,1970-10-01,1999-03-01,1,29,083,1712 EAST OHIO,Clinton,MO,Supercenter,MO,Midwest,Missouri,64735,"Walmart Supercenter - Clinton,",#0020,1712 East Ohio,Clinton,MO,64735,(660) 885-5536,-93.750499,38.363675
21,1970-03-01,2001-08-22,1,29,169,185 ST ROBERT BLVD,St. Robert,MO,Supercenter,MO,Midwest,Missouri,65584,"Walmart Supercenter - St. Robert,",#0021,185 St Robert Blvd,St. Robert,MO,65584,(573) 336-5103,-92.153384,37.82508
22,1970-10-01,2005-05-18,1,40,097,4901 SO. MILL ROAD,Pryor,OK,Supercenter,OK,South,Oklahoma,74361,"Walmart Supercenter - Pryor , Gas/Diesel,",#0022,4901 So Mill St,Pryor,OK,74361,(918) 825-6000,-95.3234,36.291844
23,1970-11-01,1994-03-01,1,22,061,1201 N SERVICE ROAD EAST,Ruston,LA,Supercenter,LA,South,Louisiana,71270,"Walmart Supercenter - East Ruston, Gas,",#0023,1201 N Service Rd,Ruston,LA,71270,(318) 251-1168,-92.623787,32.542445
24,1971-04-01,1999-03-01,1,05,119,2000 JOHN HARDEN DR,Jacksonville,AR,Supercenter,AR,South,Arkansas,72076,"Walmart Supercenter - Jacksonville,",#0024,2000 John Harden Dr,Jacksonville,AR,72076,(501) 985-8731,-92.111251,34.884897
25,1971-02-01,2005-05-18,1,29,007,4820 SO. CLARK ST,Mexico,MO,Supercenter,MO,Midwest,Missouri,65265,"Walmart Supercenter - Mexico , Gas/Diesel,",#0025,4820 S Clark St,Mexico,MO,65265,(573) 581-4500,-91.891998,39.120453
26,1970-11-01,NA,NA,20,103,3450 S. 4TH TRAFFICWAY,Leavenworth,KS,Wal-Mart,KS,Midwest,Kansas,66048,"Walmart Supercenter - Leavenworth,",#0026,5000 10th Ave,Leavenworth,KS,66048,(913) 250-0182,-94.906127,39.283915
27,1971-02-01,1999-03-01,1,29,065,1101 HWY 32 WEST,Salem,MO,Supercenter,MO,Midwest,Missouri,65560,"Walmart Supercenter - Salem ,",#0027,1101 Hwy 32 West,Salem,MO,65560,(573) 729-6151,-91.546064,37.635173
28,1971-05-01,2002-03-01,1,40,115,2415 N.W. MAIN ST,Miami,OK,Supercenter,OK,South,Oklahoma,74354,"Walmart Supercenter - Miami , Gas/Diesel,",#0028,2415 N Main St,Miami,OK,74354,(918) 542-6654,-94.879041,36.904555
29,1971-08-01,1989-03-01,1,29,051,724 STADIUM WEST BLVD,Jefferson City,MO,Supercenter,MO,Midwest,Missouri,65109,"Walmart Supercenter - Jefferson City,",#0029,724 Stadium West Blvd,Jefferson City,MO,65109,(573) 635-8283,-92.218452,38.58006
30,1971-11-01,2005-05-18,1,29,207,2025 BUS. HWY 60 WEST,Dexter,MO,Supercenter,MO,Midwest,Missouri,63841,"Walmart Supercenter - Dexter , Gas/Diesel,",#0030,2025 Bus. Hwy 60 West,Dexter,MO,63841,(573) 624-5514,-89.992297,36.801347
31,1971-06-01,1995-03-01,1,40,079,3108 N BROADWAY,Poteau,OK,Supercenter,OK,South,Oklahoma,74953,"Walmart Supercenter - Poteau, Gas,",#0031,3108 N BRdway,Poteau,OK,74953,(918) 647-5040,-94.629461,35.094614
32,1971-06-01,NA,NA,29,213,2050 WEST HWY 76,Branson,MO,Wal-Mart,MO,Midwest,Missouri,65616,"Walmart - Branson ,",#0032,2050 West Hwy 76,Branson,MO,65616,(417) 334-5005,-93.25953,36.639952
33,1971-06-01,2003-09-17,1,05,061,1710 SO. 4TH ST,Nashville,AR,Supercenter,AR,South,Arkansas,71852,"Walmart Supercenter - Nashville , Gas/Diesel,",#0033,1710 So. 4th St,Nashville,AR,71852,(870) 845-1881,-93.856603,33.924748
34,1971-11-01,2003-05-21,1,29,217,2250 LINCOLN AVENUE,Nevada,MO,Supercenter,MO,Midwest,Missouri,64772,"Walmart Supercenter - Nevada , Gas/Diesel,",#0034,2250 Lincoln Ave,Nevada,MO,64772,(417) 667-3630,-94.326416,37.833226
35,1971-10-01,2004-03-17,1,20,161,101 EAST BLUEMONT AVENUE,Manhattan,KS,Supercenter,KS,Midwest,Kansas,66502,"Walmart Supercenter - Manhattan,",#0035,101 East Bluemont Ave,Manhattan,KS,66502,(785) 776-4897,-96.55626,39.187502
36,1971-11-01,1996-03-01,1,05,055,2802 WEST KINGS HIGHWAY,Paragould,AR,Supercenter,AR,South,Arkansas,72450,"Walmart Supercenter - Paragould,",#0036,2802 West Kings Hwy,Paragould,AR,72450,(870) 236-9707,-90.522908,36.058178
37,1971-09-01,1989-03-01,1,29,187,701 WALTON DRIVE,Farmington,MO,Supercenter,MO,Midwest,Missouri,63640,"Walmart Supercenter - Farmington ,",#0037,701 Walton Dr,Farmington,MO,63640,(573) 756-8448,-90.434645,37.790244
38,1971-12-09,2004-03-17,1,40,089,1907 SE WASHINGTON ST.,Idabel,OK,Supercenter,OK,South,Oklahoma,74745,"Walmart Supercenter - Idabel , Gas/Diesel,",#0038,1907 Se Washington St,Idabel,OK,74745,(580) 286-6696,-94.803615,33.897226
39,1972-03-01,NA,NA,20,011,2400 SOUTH MAIN,Fort Scott,KS,Wal-Mart,KS,Midwest,Kansas,66701,"Walmart Supercenter - Fort Scott,",#0039,2500 S Main,Fort Scott,KS,66701,(620) 223-2867,-94.707225,37.808314
40,1971-11-01,1995-03-01,1,29,175,1301 HWY 24 EAST,Moberly,MO,Supercenter,MO,Midwest,Missouri,65270,"Walmart Supercenter - Moberly, Gas,",#0040,1301 Hwy 24 East,Moberly,MO,65270,(660) 263-3113,-92.419805,39.44681
41,1972-05-01,1994-03-01,1,40,147,4000 GREEN COUNTRY RD,Bartlesville,OK,Supercenter,OK,South,Oklahoma,74006,"Walmart Supercenter - Bartlesville , Gas/Diesel,",#0041,4000 Green Country Rd,Bartlesville,OK,74006,(918) 335-6600,-95.932612,36.740772
42,1973-02-01,NA,NA,20,125,1705 WEST 11TH STREET,Coffeyville,KS,Wal-Mart,KS,Midwest,Kansas,67337,"Walmart Supercenter - Coffeyville,",#0042,1863 County Rd,Coffeyville,KS,67337,(620) 251-2290,-95.644815,37.032379
43,1972-05-01,2000-03-01,1,20,061,521 EAST CHESTNUT ST,Junction City,KS,Supercenter,KS,Midwest,Kansas,66441,"Walmart Supercenter - Junction City,",#0043,521 East Chestnut St,Junction City,KS,66441,(785) 238-8229,-96.820687,39.020321
44,1972-02-01,NA,NA,29,131,1802 SOUTH BUSINESS HWY 54,Eldon,MO,Wal-Mart,MO,Midwest,Missouri,65026,"Walmart - Eldon,",#0044,1802 South Business Hwy 54,Eldon,MO,65026,(573) 392-3114,-92.584397,38.33533
45,1972-08-01,1994-03-01,1,05,031,1815 EAST HIGHLAND DRIVE,Jonesboro,AR,Supercenter,AR,South,Arkansas,72401,"Walmart Supercenter - Jonesboro, Gas,",#0045,1815 East Highland Dr,Jonesboro,AR,72401,(870) 931-5001,-90.685329,35.820107
46,1972-08-01,1999-03-01,1,29,167,2451 S. SPRINGFIELD,Bolivar,MO,Supercenter,MO,Midwest,Missouri,65613,"Walmart Supercenter - Bolivar,",#0046,2451 S. Springfield,Bolivar,MO,65613,(417) 326-8424,-93.402813,37.591809
47,1972-07-01,2001-03-14,1,40,135,1101 WEST RUTH AVE,Sallisaw,OK,Supercenter,OK,South,Oklahoma,74955,"Walmart Supercenter - Sallisaw , Gas/Diesel,",#0047,1101 West Ruth Ave,Sallisaw,OK,74955,(918) 775-4492,-94.80163,35.450072
48,1972-11-01,1999-03-01,1,29,009,885 HIGHWAY 60,Monett,MO,Supercenter,MO,Midwest,Missouri,65708,"Walmart Supercenter - Monett , Gas/Diesel,",#0048,885 Hwy 60,Monett,MO,65708,(417) 235-6292,-93.902844,36.913009
49,1972-10-01,2002-03-01,1,40,023,1911 E.JACKSON ST.,Hugo,OK,Supercenter,OK,South,Oklahoma,74743,"Walmart Supercenter - Hugo , Gas/Diesel,",#0049,1911 E.jackson St.,Hugo,OK,74743,(580) 326-6494,-95.492563,34.009107
50,1973-09-01,2003-01-22,1,40,035,268 SO. 7TH ST.,Vinita,OK,Supercenter,OK,South,Oklahoma,74301,"Walmart Supercenter - Vinita , Gas/Diesel,",#0050,268 So. 7th St.,Vinita,OK,74301,(918) 256-7505,-95.141317,36.631817
51,1973-05-01,1998-03-01,1,29,027,1701 NORTH BLUFF STREET,Fulton,MO,Supercenter,MO,Midwest,Missouri,65251,"Walmart Supercenter - Fulton,",#0051,1701 North Bluff St,Fulton,MO,65251,(573) 642-6877,-91.944688,38.864263
52,1972-07-01,2000-03-01,1,05,051,1601 ALBERT PIKE BLV,Hot Springs,AR,Supercenter,AR,South,Arkansas,71913,"Walmart Supercenter - Hot Springs , Gas/Diesel,",#0052,1601 Albert Pike Blvd,Hot Springs,AR,71913,(501) 624-2498,-93.089252,34.491974
54,1972-06-01,1992-03-01,1,05,143,2004 SOUTH PLEASANT,Springdale,AR,Supercenter,AR,South,Arkansas,72764,"Walmart Supercenter - Springdale,",#0054,2004 South Pleasant,Springdale,AR,72764,(479) 751-4817,-94.145398,36.166186
55,1972-10-01,NA,NA,05,083,1555 EAST MAIN,Booneville,AR,Wal-Mart,AR,South,Arkansas,72927,"Walmart - Booneville,",#0055,1555 East Main,Booneville,AR,72927,(479) 675-3688,-93.901892,35.14293
56,1973-08-01,2004-03-17,1,29,067,1309 NW 12TH AVE,Ava,MO,Supercenter,MO,Midwest,Missouri,65608,"Walmart Supercenter - Ava , Gas/Diesel,",#0056,1309 NW 12th Ave,Ava,MO,65608,(417) 683-4194,-92.676149,36.959939
57,1972-10-01,NA,NA,05,075,1600 WEST MAIN,Walnut Ridge,AR,Wal-Mart,AR,South,Arkansas,72476,"Walmart - Walnut Ridge,",#0057,1600 West Main,Walnut Ridge,AR,72476,(870) 886-6605,-90.974148,36.076106
58,1973-05-01,2005-10-26,1,05,115,2409 EAST MAIN STREET,Russellville,AR,Supercenter,AR,South,Arkansas,72802,"Walmart Supercenter - Russellville , Gas/Diesel,",#0058,2409 East Main St,Russellville,AR,72802,(479) 967-9777,-93.105336,35.279516
59,1972-05-01,1996-03-01,1,29,097,1501 SOUTH RANGELINE ROAD,Joplin,MO,Supercenter,MO,Midwest,Missouri,64804,"Walmart Supercenter - Joplin,",#0059,1501 South Rangeline Rd,Joplin,MO,64804,(417) 781-0100,-94.47405,37.073291
60,1975-03-01,1996-03-01,1,29,113,101 HWY 47 EAST,Troy,MO,Supercenter,MO,Midwest,Missouri,63379,"Walmart Supercenter - Troy , Gas,",#0060,101 Hwy 47 East,Troy,MO,63379,(636) 528-8901,-90.98158,38.987789
61,1972-11-01,1993-03-01,1,29,101,301 E. COOPER AVENUE,Warrensburg,MO,Supercenter,MO,Midwest,Missouri,64093,"Walmart Supercenter - Warrensburg, Gas,",#0061,301 E. Cooper Ave,Warrensburg,MO,64093,(660) 747-1505,-93.735271,38.779995
62,1972-11-01,1999-03-01,1,05,093,3700 EAST HWY 18,Blytheville,AR,Supercenter,AR,South,Arkansas,72315,"Walmart Pharmacy/Clinic - Bentonville,",#2203,702 SW 8th St,Bentonville,AR,72712,(479) 273-4941,-94.219265,36.366974
63,1973-09-01,1988-03-01,1,40,145,410 SOUTH DEWEY,Wagoner,OK,Supercenter,OK,South,Oklahoma,74467,"Walmart Supercenter - Wagoner, Gas,",#0063,410 South Dewey,Wagoner,OK,74467,(918) 485-9515,-95.397165,35.957346
64,1973-02-01,NA,NA,47,075,100 SOUTH DUPREE,Brownsville,TN,Wal-Mart,TN,South,Tennessee,38012,"Walmart Supercenter - Brownsville , Gas/Diesel,",#0064,1100 S Dupree Ave,Brownsville,TN,38012,(731) 772-9551,-89.238858,35.587028
65,1973-07-03,1994-03-01,1,29,071,350 PARKRIDGE ROAD,Sullivan,MO,Supercenter,MO,Midwest,Missouri,63080,"Walmart Supercenter - Sullivan,",#0065,350 Parkridge Rd,Sullivan,MO,63080,(573) 468-7030,-91.15542,38.221411
66,1973-08-01,2002-07-17,1,05,071,1230 MARKET STREET,Clarksville,AR,Supercenter,AR,South,Arkansas,72830,"Walmart Supercenter - Clarksville , Gas/Diesel,",#0066,230 Market St,Clarksville,AR,72830,(479) 754-2046,-93.460696,35.449396
67,1973-07-01,1995-03-01,1,05,113,600 HWY 71 NORTH,Mena,AR,Supercenter,AR,South,Arkansas,71953,"Walmart Supercenter - Mena, Gas,",#0067,600 Hwy 71 North,Mena,AR,71953,(479) 394-0025,-94.225973,34.587399
68,1973-08-01,2003-08-20,1,05,037,800 HWY 64 EAST,Wynne,AR,Supercenter,AR,South,Arkansas,72396,"Walmart Supercenter - Wynne , Gas/Diesel,",#0068,800 Hwy 64 East,Wynne,AR,72396,(870) 238-8129,-90.777691,35.252414
69,1973-12-01,1993-03-01,1,29,099,650 SOUTH TRUMAN BLVD,Festus,MO,Supercenter,MO,Midwest,Missouri,63028,"Walmart Supercenter - Festus, Gas,",#0069,650 South Truman Blvd,Festus,MO,63028,(636) 937-8441,-90.388896,38.212515
70,1974-07-01,1997-03-01,1,05,035,798 WEST SERVICE ROAD,West Memphis,AR,Supercenter,AR,South,Arkansas,72301,"Walmart Supercenter - West Memphis ,",#0070,798 West Service Rd West,West Memphis,AR,72301,(870) 732-0175,-90.19983,35.166303
71,1973-11-01,1994-03-01,1,05,121,1415 HWY 67 SOUTH,Pocahontas,AR,Supercenter,AR,South,Arkansas,72455,"Walmart Supercenter - Pocahontas, Gas,",#0071,1415 Hwy 67 S,Pocahontas,AR,72455,(870) 892-7703,-90.963444,36.249335
72,1974-01-01,1994-03-01,1,20,037,2710 N BROADWAY,Pittsburg,KS,Supercenter,KS,Midwest,Kansas,66762,"Walmart Supercenter - Pittsburg ,",#0072,2710 N BRdway,Pittsburg,KS,66762,(620) 232-1593,-94.703343,37.433925
73,1974-10-01,1999-03-01,1,40,037,1002 WEST TAFT,Sapulpa,OK,Supercenter,OK,South,Oklahoma,74066,"Walmart Supercenter - Sapulpa, Gas,",#0073,1002 West Taft,Sapulpa,OK,74066,(918) 224-8080,-96.134627,35.987247
74,1973-11-01,NA,NA,05,093,1051 WEST KEISER AVENUE,Osceola,AR,Wal-Mart,AR,South,Arkansas,72370,"Walmart Supercenter - Osceola,",#0074,2720 W Keiser Ave,Osceola,AR,72370,(870) 563-3251,-90.013016,35.699075
75,1984-11-13,1998-03-01,1,22,079,3636 MONROE HIGHWAY,Pineville,LA,Supercenter,LA,South,Louisiana,71360,"Walmart Supercenter - Pineville, Gas,",#0075,3636 Monroe Hwy,Pineville,LA,71360,(318) 640-6900,-92.407842,31.366878
76,1973-11-01,1993-03-01,1,05,015,1000 WEST TRIMBLE,Berryville,AR,Supercenter,AR,South,Arkansas,72616,"Walmart Supercenter - Berryville, Gas,",#0076,1000 West Trimble,Berryville,AR,72616,(870) 423-4636,-93.586135,36.376834
77,1979-10-30,2004-07-21,1,48,491,3701 NORTH MAIN ST.,Taylor,TX,Supercenter,TX,South,Texas,76574,"Walmart Supercenter - Taylor , Gas/Diesel,",#0077,3701 North Main St,Taylor,TX,76574,(512) 352-5505,-97.417225,30.598982
78,1973-09-01,NA,NA,29,225,1331 SPUR DR/ BUS. RT US HWY66,Marshfield,MO,Wal-Mart,MO,Midwest,Missouri,65706,"Walmart Supercenter - Marshfield , Gas/Diesel,",#0078,14740 State Hwy #38,Marshfield,MO,65706,(417) 468-6116,-92.939829,37.338697
79,1974-04-01,1999-03-01,1,29,097,2623 WEST 7TH STREET,Joplin,MO,Supercenter,MO,Midwest,Missouri,64801,"Walmart Supercenter - Joplin (W), Gas,",#0079,2623 West 7th St,Joplin,MO,64801,(417) 206-4644,-94.545922,37.085811
80,1973-06-01,NA,NA,29,019,401 N STADIUM BL/BISCAYNE MALL,Columbia,MO,Wal-Mart,MO,Midwest,Missouri,65201,"Walmart Express - Columbia,",#6933,308 S Ninth St,Columbia,MO,65201,(573) 499-9005,-92.327731,38.948012
81,1973-06-01,2005-10-26,1,40,001,ROUTE 6 BOX 1895,Stilwell,OK,Supercenter,OK,South,Oklahoma,74960,"Walmart Supercenter - Stilwell , Gas/Diesel,",#0081,400 West Locust St,Stilwell,OK,74960,(918) 696-3141,-94.631078,35.807614
82,1974-04-01,1998-03-01,1,29,157,1750 S. PERRYVILLE,Perryville,MO,Supercenter,MO,Midwest,Missouri,63775,"Walmart Supercenter - Perryville,",#0082,1750 S. Perryville,Perryville,MO,63775,(573) 547-2577,-89.895009,37.705306
83,1974-08-01,2003-08-20,1,05,027,60 79-BYPASS NORTH,Magnolia,AR,Supercenter,AR,South,Arkansas,71753,"Walmart Supercenter - Magnolia , Gas/Diesel,",#0083,60 79-bypass North,Magnolia,AR,71753,(870) 234-7800,-93.214039,33.275921
85,1974-04-01,1996-03-01,1,05,125,17309 I-30,Benton,AR,Supercenter,AR,South,Arkansas,72015,"Walmart Supercenter - Benton, Gas,",#0085,17309 I-30 Frontage Rd,Benton,AR,72015,(501) 860-6135,-92.58112,34.577409
86,1973-12-01,1994-03-01,1,29,077,2825 N KANSAS EXPRESSWAY,Springfield,MO,Supercenter,MO,Midwest,Missouri,65803,"Walmart Supercenter - Springfield ,",#0086,2825 N Kansas Expressway,Springfield,MO,65803,(417) 865-8865,-93.312704,37.248776
87,1974-07-01,1999-03-01,1,22,119,1379 HOMER ROAD,Minden,LA,Supercenter,LA,South,Louisiana,71055,"Walmart Supercenter - Minden, Gas,",#0087,1379 Homer Rd,Minden,LA,71055,(318) 371-9290,-93.251176,32.626904
88,1974-02-01,1994-03-01,1,29,229,2100 NORTH MAIN,Mt. Grove,MO,Supercenter,MO,Midwest,Missouri,65711,"Walmart Supercenter - Mountain Grove , Gas/Diesel,",#0088,2100 North Main,Mountain Grove,MO,65711,(417) 926-5107,-92.260446,37.149999
89,1974-02-01,2005-04-13,1,29,029,94 CECIL STREET,Camdenton,MO,Supercenter,MO,Midwest,Missouri,65020,"Walmart Supercenter - Camdenton , Gas/Diesel,",#0089,94 Cecil St,Camdenton,MO,65020,(573) 346-3588,-92.723534,38.024899
90,1974-04-01,1995-03-01,1,40,041,2115 S MAIN ST,Grove,OK,Supercenter,OK,South,Oklahoma,74344,"Walmart Supercenter - Grove,",#0090,2115 S Main St,Grove,OK,74344,(918) 786-8561,-94.770021,36.578654
91,1974-09-01,1994-03-01,1,05,123,205 DEADRICK ROAD,Forrest City,AR,Supercenter,AR,South,Arkansas,72335,"Walmart Supercenter - Forrest City , Gas,",#0091,205 Deadrick Rd,Forrest City,AR,72335,(870) 633-0021,-90.793322,35.0289996
92,1974-04-01,NA,NA,29,109,3020 SOUTH ELLIOTT,Aurora,MO,Wal-Mart,MO,Midwest,Missouri,65605,"Walmart Supercenter - Aurora , Gas/Diesel,",#0092,3020 South Elliott,Aurora,MO,65605,(417) 678-5800,-93.715966,36.94644
93,1974-10-01,NA,NA,47,167,975 US HIGHWAY 51 NORTH,Covington,TN,Wal-Mart,TN,South,Tennessee,38019,"Walmart Supercenter - Covington , Gas/Diesel,",#0093,201 Lanny Bridges Ave,Covington,TN,38019,(901) 476-4492,-89.664482,35.545041
94,1974-07-01,1997-03-01,1,47,157,8445 HWY 51 NORTH,Millington,TN,Supercenter,TN,South,Tennessee,38053,"Walmart Supercenter - Millington, Gas,",#0094,8445 Hwy 51 North,Millington,TN,38053,(901) 872-6100,-89.900396,35.351778
95,1974-10-01,2003-05-21,1,29,187,407 NO. STATE ST,Desloge,MO,Supercenter,MO,Midwest,Missouri,63601,"Walmart Supercenter - Desloge , Gas/Diesel,",#0095,407 No. State St,Desloge,MO,63601,(573) 431-5094,-90.513354,37.881991
96,1974-10-01,1994-03-01,1,29,037,1700 NORTH 291 HIGHWAY,Harrisonville,MO,Supercenter,MO,Midwest,Missouri,64701,"Walmart Supercenter - Harrisonville , Gas,",#0096,1700 North 291 Hwy,Harrisonville,MO,64701,(816) 884-5635,-94.368092,38.666189
97,1974-11-01,1994-03-01,1,47,097,628 HWY 51 BYPASS,Ripley,TN,Supercenter,TN,South,Tennessee,38063,"Walmart Supercenter - Ripley, Gas,",#0097,628 Hwy 51 Bypass,Ripley,TN,38063,(731) 635-8904,-89.543063,35.761845
98,1975-02-01,NA,NA,22,067,2030 EAST MADISON,Bastrop,LA,Wal-Mart,LA,South,Louisiana,71220,"Walmart Supercenter - Bastrop , Gas/Diesel,",#0098,6091 Mer Rouge Rd,Bastrop,LA,71220,(318) 281-9384,-91.86994,32.774
99,1976-02-01,1995-03-01,1,29,071,1445 E CENTRAL,Union,MO,Supercenter,MO,Midwest,Missouri,63084,"Walmart Supercenter - Union,",#0099,1445 E Central,Union,MO,63084,(636) 583-2355,-90.969784,38.433623
100,1974-10-01,1992-03-01,1,05,007,406 SOUTH WALTON BLVD,Bentonville,AR,Supercenter,AR,South,Arkansas,72712,"Walmart Supercenter - Bentonville , Gas/Diesel,",#0100,406 South Walton Blvd,Bentonville,AR,72712,(479) 273-0060,-94.224004,36.367959
101,1976-02-01,1994-03-01,1,29,161,500 SOUTH BISHOP,Rolla,MO,Supercenter,MO,Midwest,Missouri,65401,"Walmart Supercenter - Rolla,",#0101,500 South Bishop,Rolla,MO,65401,(573) 341-9145,-91.778932,37.938579
102,1974-09-01,1995-03-01,1,05,001,406 E 22ND STREET,Stuttgart,AR,Supercenter,AR,South,Arkansas,72160,"Walmart Supercenter - Stuttgart,",#0102,406 E 22nd St,Stuttgart,AR,72160,(870) 673-3349,-91.548865,34.477903
103,1975-08-01,2004-08-25,1,40,125,196 SHAWNEE MALL DRIVE,Shawnee,OK,Supercenter,OK,South,Oklahoma,74804,"Walmart Supercenter - Shawnee, Gas/Diesel,",#0103,196 Shawnee Mall Dr,Shawnee,OK,74804,(405) 275-1030,-96.921825,35.385649
104,1974-07-01,NA,NA,47,053,15427 SO. FIRST STREET,Milan,TN,Wal-Mart,TN,South,Tennessee,38358,"Walmart Supercenter - Milan , Gas/Diesel,",#0104,15427 So. First St,Milan,TN,38358,(731) 686-9557,-88.746496,35.876282
105,1974-08-01,1994-03-01,1,28,003,2301 HARPER ROAD,Corinth,MS,Supercenter,MS,South,Mississippi,38834,"Walmart Supercenter - Corinth, Gas,",#0105,2301 South Harper Rd,Corinth,MS,38834,(662) 287-3148,-88.50176,34.91122
106,1974-08-01,2004-10-20,1,21,075,1405 MIDDLE ROAD,Fulton,KY,Supercenter,KY,South,Kentucky,42041,"Walmart Supercenter - Fulton, Gas/Diesel,",#0106,1405 Middle Rd,Fulton,KY,42041,(270) 472-1426,-88.900167,36.5161
107,1974-10-01,NA,NA,47,183,850 WAL-MART DRIVE,Martin,TN,Wal-Mart,TN,South,Tennessee,38237,"Walmart Supercenter - Martin , Gas/Diesel,",#0107,134 Courtright Rd,Martin,TN,38237,(731) 587-3843,-88.88239,36.353906
